advertiser_name,ad_snapshot_url,Weergaven mid
50Plus,https://staging.followthemoney.nl/uploads/media/600012280d7bd/50plus-fb.png,10.000
CDA,https://staging.followthemoney.nl/uploads/cache/optimjpg/uploads/media/60001228217e2/cda-fb.png?v690,20000
ChristenUnie,https://staging.followthemoney.nl/uploads/cache/optimjpg/uploads/media/6000122824f67/christenunie-fb.png?v690,5000
D66,https://staging.followthemoney.nl/uploads/cache/optimjpg/uploads/media/600012283dbfa/d66-ggl.png?v690,5000
DENK,https://staging.followthemoney.nl/uploads/cache/optimjpg/uploads/media/6000122827929/denk-fb.png?v690,3000
FvD,https://staging.followthemoney.nl/uploads/cache/optimjpg/uploads/media/600012282a8fc/fvd-fb.png?v690,2000
GroenLinks,https://staging.followthemoney.nl/uploads/cache/optimjpg/uploads/media/600012282e594/groenlinks-fb.png?v690,4000
PvdA,https://staging.followthemoney.nl/uploads/cache/optimjpg/uploads/media/60001228319e4/pvda-fb.png?v690,6000
SGP,https://staging.followthemoney.nl/uploads/cache/optimjpg/uploads/media/60001228376b8/sgp-fb.png?v690,10000
SP,https://staging.followthemoney.nl/uploads/cache/optimjpg/uploads/media/600012283aa42/sp-fb.png?v690,4000
VVD,https://staging.followthemoney.nl/uploads/cache/optimjpg/uploads/media/6000122845812/vvd-ggl.png?v690,15000
